iteration,cumulative_seconds,relative_gap
303,12.7398760319,3.140050127173e-03
304,12.7901189327,3.081026728313e-03
305,12.8297376633,3.000388782485e-03
306,12.8657438755,2.990955829153e-03
307,12.9086163044,3.060921422126e-03
308,12.9501080513,2.998452682717e-03
309,12.9880604744,2.990167016859e-03
310,13.0279712677,3.001865831217e-03
311,13.0617399216,2.980694212998e-03
312,13.1009345055,3.004359205502e-03
313,13.1612007618,2.930081699449e-03
314,13.2024767399,2.964232448817e-03
315,13.2484440804,2.920040491939e-03
316,13.2883541584,2.953215320572e-03
317,13.3292341232,2.917862784691e-03
318,13.3727285862,2.863517419180e-03
319,13.4077394009,2.870210171840e-03
320,13.4513878822,2.883241816052e-03
321,13.5089688301,2.870194425876e-03
322,13.5530977249,2.893957177069e-03
323,13.6031150818,2.844513914857e-03
324,13.6448800564,2.827975970760e-03
325,13.6864464283,2.846476349360e-03
326,13.7300691605,2.913954178225e-03
327,13.7701876163,2.776389418922e-03
328,13.8057448864,2.834110724509e-03
329,13.8547692299,2.862198948689e-03
330,13.8948214054,2.774280913423e-03
331,13.9323747158,2.815612660378e-03
332,13.9729814529,2.809912324595e-03
333,14.0121178627,2.785309029119e-03
334,14.0533587933,2.772455082387e-03
335,14.0958445072,2.783198108341e-03
336,14.1341097355,2.714814274626e-03
337,14.1795427799,2.806405921287e-03
338,14.2203261852,2.733912843502e-03
339,14.2597334385,2.700109605744e-03
340,14.3038451672,2.703615301798e-03
341,14.3386101723,2.757147118152e-03
342,14.3726720810,2.719433014148e-03
343,14.4039793015,2.678159120365e-03
344,14.4549486637,2.682438196544e-03
345,14.4861979485,2.666891075903e-03
346,14.5278739929,2.727670782076e-03
347,14.5694611073,2.658875805425e-03
348,14.6071166992,2.635063272253e-03
349,14.6677637100,2.710106036672e-03
350,14.7082731724,2.625506059279e-03
351,14.7525680065,2.650766908852e-03
352,14.8057689667,2.651885570643e-03
353,14.8417878151,2.586777620680e-03
354,14.8854212761,2.599331603698e-03
355,14.9246737957,2.648697036279e-03
356,14.9668810368,2.530727571704e-03
357,15.0050072670,2.574091087462e-03
358,15.0402483940,2.614349545500e-03
359,15.0736556053,2.559806580296e-03
360,15.1118810177,2.601675288486e-03
361,15.1527903080,2.598827308938e-03
362,15.1855595112,2.576613527840e-03
363,15.2232251167,2.551301075502e-03
364,15.2688527107,2.541637192550e-03
365,15.3099083900,2.552422425371e-03
366,15.3752529621,2.505474809063e-03
367,15.4248161316,2.509789092918e-03
368,15.4610526562,2.561597351356e-03
369,15.5049805641,2.517301164510e-03
370,15.5446262360,2.481771943913e-03
371,15.5842516422,2.523721305009e-03
372,15.6253988743,2.448185846554e-03
373,15.6661612988,2.492107857231e-03
374,15.7063090801,2.509804587522e-03
375,15.7492027283,2.441707348849e-03
376,15.7839457989,2.423437802307e-03
377,15.8221342564,2.548933042775e-03
378,15.8589959145,2.473733339234e-03
379,15.8955872059,2.405566318952e-03
380,15.9354748726,2.400095570934e-03
381,15.9769825935,2.452519511858e-03
382,16.0176160336,2.396733074249e-03
383,16.0587666035,2.424306439117e-03
384,16.1008832455,2.434810162932e-03
385,16.1391334534,2.404136994529e-03
386,16.1750419140,2.446612757517e-03
387,16.2339804173,2.377913496422e-03
388,16.2739772797,2.384934411916e-03
389,16.3169035912,2.455128681967e-03
390,16.3530716896,2.379503042167e-03
391,16.3884994984,2.335604685375e-03
392,16.4291961193,2.416107686479e-03
393,16.4734802246,2.335552447479e-03
394,16.5176999569,2.350016277882e-03
395,16.5661478043,2.330656185558e-03
396,16.6031069756,2.342128757110e-03
397,16.6411621571,2.329764607608e-03
398,16.6880979538,2.278979003028e-03
399,16.7198958397,2.368880697115e-03
400,16.7561221123,2.308382794231e-03
401,16.8015058041,2.278566253119e-03
402,16.8342483044,2.337855517095e-03
403,16.8676385880,2.342350302673e-03
404,16.9090111256,2.255058280923e-03
405,16.9469652176,2.293172821353e-03
406,16.9855620861,2.320427146586e-03
407,17.0359790325,2.270131341292e-03
408,17.0793836117,2.301738302573e-03
409,17.1135060787,2.250474934907e-03
410,17.1514956951,2.267972316945e-03
411,17.1931006908,2.296077465253e-03
412,17.2268784046,2.213136727674e-03
413,17.2809207439,2.226509122324e-03
414,17.3227951527,2.241693351781e-03
415,17.3665816784,2.189390404110e-03
416,17.4097938538,2.228541387510e-03
417,17.4496366978,2.313333627372e-03
418,17.4930438995,2.264035287665e-03
419,17.5383512974,2.177813930362e-03
420,17.5744497776,2.176881938517e-03
421,17.6156165600,2.215079392207e-03
422,17.6552600861,2.173105309497e-03
423,17.6965792179,2.184967178180e-03
424,17.7357456684,2.201680957554e-03
425,17.7798910141,2.216471584851e-03
426,17.8222897053,2.201213608304e-03
427,17.8691954613,2.177462128010e-03
428,17.9012398720,2.152488384409e-03
429,17.9347414970,2.190450487352e-03
430,17.9871823788,2.153883258904e-03
431,18.0268814564,2.132211367329e-03
432,18.0658395290,2.113332428991e-03
433,18.1181733608,2.139655064197e-03
434,18.1526405811,2.088763952616e-03
435,18.1867294312,2.098439844023e-03
436,18.2349271774,2.118474192468e-03
437,18.2742369175,2.135265694475e-03
438,18.3086330891,2.085455075853e-03
439,18.3597874641,2.119734050544e-03
440,18.3990399837,2.078656391419e-03
441,18.4387824535,2.142733592164e-03
442,18.4861876965,2.116511871251e-03
443,18.5242836475,2.030945048426e-03
444,18.5705261230,2.082583519704e-03
445,18.6055905819,2.122327222258e-03
446,18.6464271545,2.020944228079e-03
447,18.6885499954,2.064432593735e-03
448,18.7298300266,2.106781978700e-03
449,18.7668740749,2.024559795982e-03
450,18.8076851368,2.066201491782e-03
451,18.8464477062,2.079515217225e-03
452,18.8797969818,2.043836225919e-03
453,18.9286656380,2.036916449336e-03
454,18.9686694145,2.007737034861e-03
455,19.0005743504,1.983338722957e-03
456,19.0504665375,2.050105300411e-03
457,19.0899207592,2.025067761092e-03
458,19.1301305294,2.046238320527e-03
459,19.1710033417,1.993100303689e-03
460,19.2047135830,2.046697193449e-03
461,19.2437703609,2.019251853033e-03
462,19.2802712917,1.952260645525e-03
463,19.3179109097,2.016456137849e-03
464,19.3573014736,1.977132290301e-03
465,19.3954789639,2.003698417945e-03
466,19.4370129108,1.986759357601e-03
467,19.4745984077,1.944463178093e-03
468,19.5191671848,1.968923587911e-03
469,19.5489060879,2.004044855742e-03
470,19.5890221596,2.014217357290e-03
471,19.6315388680,1.976329705530e-03
472,19.6694815159,1.898215898609e-03
473,19.7070653439,1.940133303039e-03
474,19.7402815819,1.992263860486e-03
475,19.7678468227,1.960900332779e-03
476,19.8022899628,1.945863213844e-03
477,19.8375651836,1.924191172370e-03
478,19.8885715008,1.897053308257e-03
479,19.9299287796,2.011027772089e-03
480,19.9752943516,1.916478608678e-03
481,20.0178928375,1.907171216220e-03
482,20.0584099293,1.908243434374e-03
483,20.1020147800,1.889125926483e-03
484,20.1414151192,1.933499033446e-03
485,20.1858525276,1.936554908670e-03
486,20.2238903046,1.881084089228e-03
487,20.2631075382,1.904104485598e-03
488,20.3016448021,1.910050274047e-03
489,20.3391177654,1.910144556808e-03
490,20.3728566170,1.905078956142e-03
491,20.4172034264,1.878777690099e-03
492,20.4548659325,1.828205559157e-03
493,20.4925949574,1.892409866221e-03
494,20.5273299217,1.869565702667e-03
495,20.5829439163,1.862044186567e-03
496,20.6996273994,1.873699148274e-03
497,20.7550318241,1.841597493878e-03
498,20.7988233566,1.886287551041e-03
499,20.8400192261,1.850639133479e-03
500,20.8778843880,1.855895246719e-03
501,20.9212594032,1.880781330712e-03
502,20.9660973549,1.832220471651e-03
503,21.0026159286,1.893978350719e-03
504,21.0416090488,1.834841177613e-03
505,21.0747108459,1.837337012414e-03
506,21.1111390591,1.856955378614e-03
507,21.1551582813,1.823688692727e-03
508,21.1903643608,1.787694078560e-03
509,21.2265820503,1.840716740396e-03
510,21.2766232491,1.847566075988e-03
511,21.3154211044,1.852042377027e-03
512,21.3531799316,1.809201956145e-03
513,21.4060635567,1.785342381247e-03
514,21.4509494305,1.821478633500e-03
515,21.4972727299,1.817504818943e-03
