iteration,cumulative_seconds,relative_gap
224,4.9201216698,4.015128335069e-03
225,4.9383769035,4.085613259889e-03
226,4.9609558582,4.153740968024e-03
227,4.9815618992,4.012906857532e-03
228,5.0010597706,3.993272262149e-03
229,5.0203206539,4.023762737500e-03
230,5.0398228168,4.081085443606e-03
231,5.0613970757,3.848932461537e-03
232,5.0816588402,3.881954093535e-03
233,5.1014113426,3.917784787009e-03
234,5.1207172871,3.848674557442e-03
235,5.1414566040,3.875984094681e-03
236,5.1606957912,3.878069594969e-03
237,5.1881945133,3.886861173020e-03
238,5.2088751793,3.799101174857e-03
239,5.2312672138,3.740871782974e-03
240,5.2504992485,3.801037110186e-03
241,5.2684669495,3.906604439550e-03
242,5.2892036438,3.780818049357e-03
243,5.3126738071,3.707383897927e-03
244,5.3312904835,3.738148721298e-03
245,5.3516283035,3.817642666103e-03
246,5.3695514202,3.733167513687e-03
247,5.3889985085,3.717238347570e-03
248,5.4090075493,3.679148692576e-03
249,5.4332258701,3.663556774916e-03
250,5.4523835182,3.627391872975e-03
251,5.4712312222,3.706986471485e-03
252,5.4946179390,3.566662704422e-03
253,5.5153827667,3.627936873921e-03
254,5.5353341103,3.680890079317e-03
255,5.5583255291,3.627406863736e-03
256,5.5794355869,3.490692707100e-03
257,5.5983023643,3.529712081294e-03
258,5.6180481911,3.517193635345e-03
259,5.6379075050,3.433851257138e-03
260,5.6577610970,3.443333249379e-03
261,5.6768887043,3.518365007684e-03
262,5.6960549355,3.469648568387e-03
263,5.7161147594,3.474201381129e-03
264,5.7347533703,3.482105467028e-03
265,5.7549018860,3.435094423076e-03
266,5.7744348049,3.461772995132e-03
267,5.7947525978,3.435583383649e-03
268,5.8147916794,3.398707345184e-03
269,5.8320605755,3.361407068019e-03
270,5.8516547680,3.377217318711e-03
271,5.8695313931,3.380768487151e-03
272,5.8883383274,3.366484003982e-03
273,5.9108917713,3.313126532928e-03
274,5.9296066761,3.326924703081e-03
275,5.9491689205,3.287737834004e-03
276,5.9685876369,3.282319830012e-03
277,5.9896943569,3.319843494292e-03
278,6.0190463066,3.273180509813e-03
279,6.0387353897,3.197755109634e-03
280,6.0609533787,3.296190355196e-03
281,6.1057655811,3.190319794495e-03
282,6.1681404114,3.218513737514e-03
283,6.1885387897,3.147283215732e-03
284,6.2088985443,3.183132814354e-03
285,6.2284688950,3.200972586187e-03
286,6.2493357658,3.147752623200e-03
287,6.2743945122,3.201015201316e-03
288,6.2956340313,3.212506287519e-03
289,6.3152394295,3.140613305016e-03
290,6.3337292671,3.165404209850e-03
291,6.3528561592,3.139242458778e-03
292,6.3801729679,3.077953912420e-03
293,6.3990147114,3.079504488777e-03
294,6.4181637764,3.193209205519e-03
295,6.4365780354,3.067187276295e-03
296,6.4561820030,3.073789156282e-03
297,6.4755799770,3.148964048529e-03
298,6.4969942570,3.093539467899e-03
299,6.5164065361,3.062419645028e-03
300,6.5350456238,3.061725618803e-03
301,6.5557129383,3.055667844927e-03
302,6.5787551403,2.993181509448e-03
303,6.5992670059,2.978079107442e-03
304,6.6179938316,2.962649981001e-03
305,6.6361413002,2.940150603023e-03
306,6.6563374996,2.953884317833e-03
307,6.6746940613,2.937705014077e-03
308,6.6951785088,2.951396370904e-03
309,6.7179963589,2.990327996079e-03
310,6.7359609604,2.909146885362e-03
311,6.7554056644,2.891535363606e-03
312,6.7772707939,2.886362168259e-03
313,6.7981257439,2.971209766116e-03
314,6.8264892101,2.917847330335e-03
315,6.8601415157,2.898902687596e-03
316,6.8827319145,2.880340127066e-03
317,6.9031703472,2.903236326328e-03
318,6.9276478291,2.820128197936e-03
319,6.9607806206,2.840291028135e-03
320,6.9852313995,2.857173436620e-03
321,7.0077431202,2.782247968730e-03
322,7.0318922997,2.927494587097e-03
323,7.0537040234,2.808892965181e-03
324,7.0808651447,2.786796978236e-03
325,7.1015124321,2.802699809555e-03
326,7.1268916130,2.750331003495e-03
327,7.1547629833,2.768249470354e-03
328,7.1767773628,2.794388170119e-03
329,7.1995382309,2.749322516751e-03
330,7.2188398838,2.751072790683e-03
331,7.2390921116,2.792870172859e-03
332,7.2610991001,2.693259397699e-03
333,7.2802700996,2.724927892647e-03
334,7.2987890244,2.794823626276e-03
335,7.3225297928,2.686184594620e-03
336,7.3434519768,2.686607503944e-03
337,7.3635733128,2.720944712658e-03
338,7.3844678402,2.683321664111e-03
339,7.4026780128,2.684315708559e-03
340,7.4239766598,2.767528518997e-03
341,7.4489130974,2.604677281502e-03
342,7.4714562893,2.675847188112e-03
343,7.4916169643,2.667718980572e-03
344,7.5124511719,2.574449982710e-03
345,7.5312554836,2.623745729412e-03
346,7.5570442677,2.720575029506e-03
347,7.5780942440,2.606799229494e-03
348,7.5971052647,2.609568132329e-03
349,7.6168854237,2.638451460107e-03
350,7.6354286671,2.571689006246e-03
351,7.6589972973,2.573725993475e-03
352,7.6828904152,2.598684553138e-03
353,7.7013676167,2.596323212677e-03
354,7.7215325832,2.504297878422e-03
355,7.7404484749,2.514670484901e-03
356,7.7617013454,2.572381455162e-03
357,7.7921957970,2.550859583653e-03
358,7.8118622303,2.504216879176e-03
359,7.8316173553,2.552355607509e-03
360,7.8516168594,2.593755193843e-03
361,7.8703293800,2.575902179357e-03
362,7.8903918266,2.482378801627e-03
363,7.9114708900,2.541284099582e-03
364,7.9338865280,2.537918066437e-03
365,7.9545736313,2.489027654439e-03
366,7.9730167389,2.469421951160e-03
367,7.9935388565,2.500785711585e-03
368,8.0144188404,2.558926543382e-03
369,8.0350346565,2.469857734287e-03
370,8.0554881096,2.464087289610e-03
371,8.0754141808,2.419628058126e-03
372,8.0952596664,2.434877274273e-03
373,8.1141161919,2.442717769833e-03
374,8.1322288513,2.486140974467e-03
375,8.1551058292,2.413897827708e-03
376,8.1745069027,2.422563457142e-03
377,8.1964750290,2.432079626500e-03
378,8.2173669338,2.352914540329e-03
379,8.2368083000,2.439331013298e-03
380,8.2599704266,2.429258757305e-03
381,8.2830154896,2.339687669563e-03
382,8.3029646873,2.429291455605e-03
383,8.3240571022,2.339640676562e-03
384,8.3487389088,2.360556194119e-03
385,8.3685796261,2.395154260470e-03
386,8.3936140537,2.336185266609e-03
387,8.4146094322,2.390448724228e-03
388,8.4343409538,2.357768946046e-03
389,8.4542911053,2.341057892180e-03
390,8.4744315147,2.317327297788e-03
391,8.4979362488,2.317825916581e-03
392,8.5201325417,2.240916900895e-03
393,8.5428068638,2.398630446291e-03
394,8.5615465641,2.305462835804e-03
395,8.5820229053,2.269353772749e-03
396,8.6012227535,2.343404512173e-03
397,8.6258292198,2.292291236236e-03
398,8.6467027664,2.231648716906e-03
